Question,Answer
Can I change my branch?  ,"Yes, you can change i t at the end of the first year ( refer to Chapter 2 of the  UG "
Can I take only one branch?  ,"Yes, you can  have only one major branch , while you may opt for a minor branch "
Can Integrated M.  Tech students change their program  to B.  Tech?  ,"Yes, you can change i t at the end of the first year ( refer to Chapter 2 of the  UG "
"If I can't manage the load of an additional program, can I drop Minor/Double ","Yes, it's possible to drop any additional programs after it's allocation. If you "
Can Int. M . Tech stud ent apply for Double Major and Dual Degree?  ,No. Only students under BTech program can apply for Double Major and Dual 
Can Int. M . Tech student take Minor programs?  ,"Yes, they can do so. Yes, you can  have only one major branch , while you may "
Is the workload of double major manageable?  ,"Yes, the students are successfully managing the course.  "
Which minors are provided in Electrical Engineering?  ,Please see the link below for details:  
What will be the duration of a B.Tech program ? ,There is a scope for students to complete the degree in 3.5 years.  The duration 
"If I take metallurgical engineering, can I take CSE as minor?  ","Yes, students scoring decent CGPA are allowed to take CSE as minor.  "
Does Tech companies like Google and Amazon allow placement of stu dents other ,"Yes, companies are very much interested to take students from other branches.  "
Can n on-CSE students participate in soft -core companies?  ,Yes. 
From which year internship starts?  ,Pre-final year . 
What is median salary package of CSE?  ,"As per the recent records , the median package is 27.2 lakhs.  "
What is the highest salary package of CSE?  ,The highest package is 54 lakhs.  
What are the start -up opportunities for students of Core Geophysics?  ,TEXMin and NVCTI are the innovation hub of the Institute where students can 
Is there any coding club?  ,"Yes, we do have a Data and Software  Technology club, along with an Animation "
Is there any CGPA criterion for joining the club? Can one join more than one ,No. 
"If you choose Mining Engineering and then electrical in (double/Major), Will I be ","If you clear the placement test of the company, you are eligible.  "
How the ESE branch and what are the scopes in the branch?  ,"Yes, l ast year, 100 companies allowed B.Tech ESE candidate for placement.  "
Which companies employs B.Tech Petroleum Engineering ? ,"ONGC, Reliance, CAIRN Energy are the core petroleum companies which come "
How much pollution is in Dhanbad?  ,IIT(ISM) campus is a green campus with lots of greenery all around. One can 
Can B.tech students from Chemical Engineering participate in research ,"Yes, students are encouraged to join the research program if they are ready to "
Do IIT(ISM) has foreign internships?  ,"Yes, a lot of opportunities  are there  for students to get internship under MITACS "
Is Dhanbad safe for girl  students ? ,"Yes, Dhanbad is quite  safer for girl students as com pared to any other place . "
How is the campus culture  and opportunities to get into responsible positions?  ,We have a lot of campus fest and sports fest to involve students. The students 
What is the criteria for availing fee waivers and scholarships?  ,CGPA and income of the family members are the criteria.  
What about the hostel facilities in the campus?  ,We are housing 2 students in one room in the hostels.  
What  is the gender ratio in the B.Tech program ? ,Gender ratio is 20% as per provision of IIT JEE Advanced rules.  
What are the opportunities in E -Cell club of IIT(ISM)?  ,E-Cell offers good opportunity  and necessary support  to students who  ideate 
How is sports facilities for girls?  ,Fantastic.  All facilities are gender -neutral . 
Whether PSU Companies participates in IIT (ISM ) Dhanbad ? ,Yes. 
How is counselling facilities in IIT(ISM)?  ,We offer both online and offline counselling facilities for girls and boys 
How good is the campus culture ? ,"Vibrant, Positive, Lively, Cosmopolitan, Pan-India feel!  "
How is the mess facility?  ,Youâ€™ll get delectable  meals in your hostel mess as well as canteens.  
